00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 12:40:23	1,N,2013-08-04 12:46:41,1,377,1.6,-73.963821,40.765911,-73.971703,40.782059,CSH,7.5,0,0.5,0,0,8
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 12:50:57	1,N,2013-08-04 13:05:18,2,860,3.1,-73.976028,40.781116,-74.005219,40.743484,CRD,12.5,0,0.5,2.6,0,15.6
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 13:07:01	1,N,2013-08-04 13:16:38,1,576,1.5,-74.00602,40.744858,-74.002144,40.729847,CSH,8,0,0.5,0,0,8.5
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 13:23:02	2,N,2013-08-04 13:58:18,1,2116,17.8,-73.991364,40.727299,-73.789009,40.641884,CRD,52,0,0.5,13.12,0,65.62
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 14:08:08	1,N,2013-08-04 14:39:58,1,1909,9.7,-73.790039,40.643879,-73.916931,40.681118,CSH,32.5,0,0.5,0,0,33
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 15:06:02	2,N,2013-08-04 15:55:18,1,2955,20.2,-73.790276,40.642975,-73.9701,40.789295,CSH,52,0,0.5,0,5.33,57.83
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 16:06:05	1,N,2013-08-04 16:15:57,3,591,1.9,-73.962898,40.773205,-73.985909,40.778309,CSH,9.5,0,0.5,0,0,10
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 16:18:38	1,N,2013-08-04 16:24:36,3,357,1.2,-73.988007,40.778996,-73.976685,40.789665,CRD,6.5,0,0.5,1.4,0,8.4
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 16:32:03	1,N,2013-08-04 16:34:36,1,152,0.6,-73.972015,40.781864,-73.980064,40.780712,CSH,4,0,0.5,0,0,4.5
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 16:37:33	1,N,2013-08-04 16:46:19,1,526,1.5,-73.978271,40.783245,-73.956841,40.775311,CSH,8,0,0.5,0,0,8.5
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 16:52:12	1,N,2013-08-04 16:58:07,1,354,1,-73.9618,40.779831,-73.951401,40.77927,CSH,6.5,0,0.5,0,0,7
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 17:04:42	1,N,2013-08-04 17:16:11,2,689,2.1,-73.961555,40.779751,-73.980881,40.757843,CSH,10,0,0.5,0,0,10.5
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-04 17:21:45	1,N,2013-08-04 17:27:06,1,321,1.4,-73.971619,40.763966,-73.956772,40.774597,CRD,6.5,0,0.5,2.1,0,9.1
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 07:29:59	1,N,2013-08-07 07:44:34,1,874,4,-73.958527,40.800217,-73.973938,40.754013,CRD,14.5,0,0.5,1,0,16
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 08:05:46	1,N,2013-08-07 08:15:14,1,568,0.9,-73.98584,40.750698,-73.981201,40.749146,CSH,7.5,0,0.5,0,0.01,8.01
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 08:27:06	1,N,2013-08-07 08:40:10,1,784,1.5,-73.991158,40.750389,-73.980812,40.75684,CRD,9.5,0,0.5,2.5,0,12.5
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 08:47:17	1,Y,2013-08-07 08:58:01,1,643,1.6,-73.97654,40.775368,-73.977631,40.758095,CRD,9,0,0.5,1,0,10.5
